Accuracy,pad,file
0.27039627,13, 60_second_0.001_alpha_5_fold_10_n_3_k_final_score.csv
0.282051282,14, 60_second_0.001_alpha_5_fold_10_n_4_k_final_score.csv
0.298368298,15, 60_second_0.001_alpha_5_fold_10_n_5_k_final_score.csv
0.312354312,16, 60_second_0.001_alpha_5_fold_10_n_6_k_final_score.csv
0.291375291,17, 60_second_0.001_alpha_5_fold_10_n_7_k_final_score.csv
0.305361305,18, 60_second_0.001_alpha_5_fold_10_n_8_k_final_score.csv
0.27039627,19, 60_second_0.001_alpha_5_fold_10_n_9_k_final_score.csv
0.358490566,25, 60_second_0.001_alpha_5_fold_15_n_10_k_final_score.csv
0.372641509,16, 60_second_0.001_alpha_5_fold_15_n_1_k_final_score.csv
0.323113208,17, 60_second_0.001_alpha_5_fold_15_n_2_k_final_score.csv
0.306603774,18, 60_second_0.001_alpha_5_fold_15_n_3_k_final_score.csv
0.306603774,19, 60_second_0.001_alpha_5_fold_15_n_4_k_final_score.csv
0.29245283,20, 60_second_0.001_alpha_5_fold_15_n_5_k_final_score.csv
0.294811321,21, 60_second_0.001_alpha_5_fold_15_n_6_k_final_score.csv
0.301886792,22, 60_second_0.001_alpha_5_fold_15_n_7_k_final_score.csv
0.311320755,23, 60_second_0.001_alpha_5_fold_15_n_8_k_final_score.csv
0.327830189,24, 60_second_0.001_alpha_5_fold_15_n_9_k_final_score.csv
0.413043478,35, 60_second_0.001_alpha_5_fold_25_n_10_k_final_score.csv
0.328502415,26, 60_second_0.001_alpha_5_fold_25_n_1_k_final_score.csv
0.352657005,27, 60_second_0.001_alpha_5_fold_25_n_2_k_final_score.csv
0.316425121,28, 60_second_0.001_alpha_5_fold_25_n_3_k_final_score.csv
0.362318841,29, 60_second_0.001_alpha_5_fold_25_n_4_k_final_score.csv
0.347826087,30, 60_second_0.001_alpha_5_fold_25_n_5_k_final_score.csv
0.396135266,31, 60_second_0.001_alpha_5_fold_25_n_6_k_final_score.csv
0.359903382,32, 60_second_0.001_alpha_5_fold_25_n_7_k_final_score.csv
0.38647343,33, 60_second_0.001_alpha_5_fold_25_n_8_k_final_score.csv
0.398550725,34, 60_second_0.001_alpha_5_fold_25_n_9_k_final_score.csv
0.480719794,60, 60_second_0.001_alpha_5_fold_50_n_10_k_final_score.csv
0.318766067,51, 60_second_0.001_alpha_5_fold_50_n_1_k_final_score.csv
0.395886889,52, 60_second_0.001_alpha_5_fold_50_n_2_k_final_score.csv
0.383033419,53, 60_second_0.001_alpha_5_fold_50_n_3_k_final_score.csv
0.444730077,54, 60_second_0.001_alpha_5_fold_50_n_4_k_final_score.csv
0.390745501,55, 60_second_0.001_alpha_5_fold_50_n_5_k_final_score.csv
0.385604113,56, 60_second_0.001_alpha_5_fold_50_n_6_k_final_score.csv
0.35218509,57, 60_second_0.001_alpha_5_fold_50_n_7_k_final_score.csv
0.380462725,58, 60_second_0.001_alpha_5_fold_50_n_8_k_final_score.csv
0.462724936,59, 60_second_0.001_alpha_5_fold_50_n_9_k_final_score.csv
0.672566372,110, 60_second_0.001_alpha_6_fold_100_n_10_k_final_score.csv
0.230088496,101, 60_second_0.001_alpha_6_fold_100_n_1_k_final_score.csv
0.483775811,102, 60_second_0.001_alpha_6_fold_100_n_2_k_final_score.csv
0.530973451,103, 60_second_0.001_alpha_6_fold_100_n_3_k_final_score.csv
0.607669617,104, 60_second_0.001_alpha_6_fold_100_n_4_k_final_score.csv
0.578171091,105, 60_second_0.001_alpha_6_fold_100_n_5_k_final_score.csv
0.678466077,106, 60_second_0.001_alpha_6_fold_100_n_6_k_final_score.csv
0.598820059,107, 60_second_0.001_alpha_6_fold_100_n_7_k_final_score.csv
0.572271386,108, 60_second_0.001_alpha_6_fold_100_n_8_k_final_score.csv
0.705014749,109, 60_second_0.001_alpha_6_fold_100_n_9_k_final_score.csv
0.335664336,11, 60_second_0.001_alpha_6_fold_10_n_1_k_final_score.csv
0.282051282,12, 60_second_0.001_alpha_6_fold_10_n_2_k_final_score.csv
0.265734266,13, 60_second_0.001_alpha_6_fold_10_n_3_k_final_score.csv
0.289044289,14, 60_second_0.001_alpha_6_fold_10_n_4_k_final_score.csv
0.303030303,15, 60_second_0.001_alpha_6_fold_10_n_5_k_final_score.csv
0.291375291,16, 60_second_0.001_alpha_6_fold_10_n_6_k_final_score.csv
0.298368298,17, 60_second_0.001_alpha_6_fold_10_n_7_k_final_score.csv
0.286713287,18, 60_second_0.001_alpha_6_fold_10_n_8_k_final_score.csv
0.277389277,19, 60_second_0.001_alpha_6_fold_10_n_9_k_final_score.csv
0.327830189,25, 60_second_0.001_alpha_6_fold_15_n_10_k_final_score.csv
0.297169811,16, 60_second_0.001_alpha_6_fold_15_n_1_k_final_score.csv
0.325471698,17, 60_second_0.001_alpha_6_fold_15_n_2_k_final_score.csv
0.308962264,18, 60_second_0.001_alpha_6_fold_15_n_3_k_final_score.csv
0.29245283,19, 60_second_0.001_alpha_6_fold_15_n_4_k_final_score.csv
0.301886792,20, 60_second_0.001_alpha_6_fold_15_n_5_k_final_score.csv
0.285377358,21, 60_second_0.001_alpha_6_fold_15_n_6_k_final_score.csv
0.306603774,22, 60_second_0.001_alpha_6_fold_15_n_7_k_final_score.csv
0.323113208,23, 60_second_0.001_alpha_6_fold_15_n_8_k_final_score.csv
0.323113208,24, 60_second_0.001_alpha_6_fold_15_n_9_k_final_score.csv
0.403381643,35, 60_second_0.001_alpha_6_fold_25_n_10_k_final_score.csv
